,ID,completion,printer,speed_print,retraction_hop_enabled,speed_roofing,infill_sparse_density,ironing_enabled,limit_support_retractions,material_bed_temperature_layer_0,speed_wall_x,retraction_count_max,cool_fan_full_at_height,support_enable,brim_line_count,support_xy_distance_overhang,speed_print_layer_0,support_tree_branch_diameter,wall_line_count,cool_fan_enabled,adhesion_type,speed_travel_layer_0,ironing_only_highest_layer,retraction_enable,retraction_extrusion_window,support_initial_layer_line_distance,travel_avoid_distance,retraction_speed,support_top_distance,bridge_settings_enabled,support_interface_enable,material_initial_print_temperature,material_final_print_temperature,cool_fan_speed_max,support_z_distance,retraction_amount,bridge_fan_speed,layer_height,support_type,support_wall_count,support_tree_angle,material_print_temperature_layer_0,support_tree_collision_resolution,speed_travel,support_tree_branch_diameter_angle,speed_support_roof,retraction_hop,print_bed_temperature,slicing_tolerance,retraction_retract_speed,support_tree_enable,material_bed_temperature,retraction_min_travel,cool_fan_speed,speed_topbottom,retraction_prime_speed,material_flow,speed_infill,speed_layer_0,infill_wall_line_count,material_print_temperature,speed_wall,cool_fan_speed_min,speed_wall_0,speed_ironing,blobs,gaps,layer_misalignment,layer_separation,over_extrusion,line_misalignment,stringing,under_extrusion,warping,poor_bridging,overall_ok,lost_adhesion,not_labelable,burning,humidity,temperature,material_color,material_type,material_producer
0,22,1.0,Creality Ender3,60.0,True,30.0,20.0,True,True,60.0,60.0,90.0,0.2,True,20.0,0.2,30.0,2.0,2.0,True,skirt,60.0,True,True,1.0,2.6666666666666665,0.625,20.0,0.1,True,True,190.0,185.0,100.0,0.1,5.0,100.0,0.2,everywhere,0.0,40.0,190.0,0.2,120.0,5.0,40.0,1.0,60.0,middle,20.0,True,60.0,0.8,100.0,30.0,20.0,100.0,60.0,30.0,0.0,190.0,30.0,100.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,28.0,27.0,green,pla,janbex
1,23,1.0,Creality Ender3,60.0,True,30.0,20.0,True,True,60.0,60.0,90.0,0.2,True,20.0,0.2,30.0,2.0,2.0,True,skirt,60.0,True,True,1.0,2.6666666666666665,0.625,30.0,0.1,True,True,190.0,185.0,100.0,0.1,5.0,100.0,0.2,everywhere,0.0,40.0,190.0,0.2,120.0,5.0,40.0,1.0,60.0,middle,30.0,True,60.0,0.8,100.0,30.0,30.0,100.0,60.0,30.0,0.0,190.0,30.0,100.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,28.0,green,pla,janbex
2,24,1.0,Creality Ender3,60.0,True,30.0,20.0,True,True,60.0,60.0,90.0,0.2,True,20.0,0.2,30.0,2.0,2.0,True,skirt,60.0,True,True,1.0,2.6666666666666665,0.625,40.0,0.1,True,True,190.0,185.0,100.0,0.1,5.0,100.0,0.2,everywhere,0.0,40.0,190.0,0.2,120.0,5.0,40.0,1.0,60.0,middle,40.0,True,60.0,0.8,100.0,30.0,40.0,100.0,60.0,30.0,0.0,190.0,30.0,100.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,28.0,green,pla,janbex
3,25,1.0,Creality Ender3,60.0,True,30.0,20.0,True,True,60.0,60.0,90.0,0.2,True,20.0,0.2,30.0,2.0,2.0,True,skirt,60.0,True,True,1.0,2.6666666666666665,0.625,50.0,0.1,True,True,190.0,185.0,100.0,0.1,5.0,100.0,0.2,everywhere,0.0,40.0,190.0,0.2,120.0,5.0,40.0,1.0,60.0,middle,50.0,True,60.0,0.8,100.0,30.0,50.0,100.0,60.0,30.0,0.0,190.0,30.0,100.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,28.0,green,pla,janbex
4,26,1.0,Creality Ender3,60.0,True,30.0,20.0,True,True,60.0,60.0,90.0,0.2,True,20.0,0.2,30.0,2.0,2.0,True,skirt,60.0,True,True,1.0,2.6666666666666665,0.625,60.0,0.1,True,True,190.0,185.0,100.0,0.1,5.0,100.0,0.2,everywhere,0.0,40.0,190.0,0.2,120.0,5.0,40.0,1.0,60.0,middle,60.0,True,60.0,0.8,100.0,30.0,60.0,100.0,60.0,30.0,0.0,190.0,30.0,100.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,28.0,green,pla,janbex
5,27,1.0,Creality Ender3,60.0,True,30.0,20.0,True,True,60.0,60.0,90.0,0.2,True,20.0,0.2,30.0,2.0,2.0,True,skirt,60.0,True,True,1.0,2.6666666666666665,0.625,20.0,0.1,True,True,190.0,185.0,100.0,0.1,5.0,100.0,0.2,everywhere,0.0,40.0,200.0,0.2,120.0,5.0,40.0,1.0,60.0,middle,20.0,True,60.0,0.8,100.0,30.0,20.0,100.0,60.0,30.0,0.0,200.0,30.0,100.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,28.0,green,pla,janbex
6,28,1.0,Creality Ender3,60.0,True,30.0,20.0,True,True,60.0,60.0,90.0,0.2,True,20.0,0.2,30.0,2.0,2.0,True,skirt,60.0,True,True,1.0,2.6666666666666665,0.625,30.0,0.1,True,True,190.0,185.0,100.0,0.1,5.0,100.0,0.2,everywhere,0.0,40.0,200.0,0.2,120.0,5.0,40.0,1.0,60.0,middle,30.0,True,60.0,0.8,100.0,30.0,30.0,100.0,60.0,30.0,0.0,200.0,30.0,100.0,30.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,28.0,green,pla,janbex
7,29,1.0,Creality Ender3,60.0,True,30.0,20.0,True,True,60.0,60.0,90.0,0.2,True,20.0,0.2,30.0,2.0,2.0,True,skirt,60.0,True,True,1.0,2.6666666666666665,0.625,40.0,0.1,True,True,190.0,185.0,100.0,0.1,5.0,100.0,0.2,everywhere,0.0,40.0,200.0,0.2,120.0,5.0,40.0,1.0,60.0,middle,40.0,True,60.0,0.8,100.0,30.0,40.0,100.0,60.0,30.0,0.0,200.0,30.0,100.0,30.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,28.0,green,pla,janbex
8,30,1.0,Creality Ender3,60.0,True,30.0,20.0,True,True,60.0,60.0,90.0,0.2,True,20.0,0.2,30.0,2.0,2.0,True,skirt,60.0,True,True,1.0,2.6666666666666665,0.625,50.0,0.1,True,True,190.0,185.0,100.0,0.1,5.0,100.0,0.2,everywhere,0.0,40.0,200.0,0.2,120.0,5.0,40.0,1.0,60.0,middle,50.0,True,60.0,0.8,100.0,30.0,50.0,100.0,60.0,30.0,0.0,200.0,30.0,100.0,30.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,28.0,28.0,green,pla,janbex
9,31,1.0,Creality Ender3,60.0,True,30.0,20.0,True,True,60.0,60.0,90.0,0.2,True,20.0,0.2,30.0,2.0,2.0,True,skirt,60.0,True,True,1.0,2.6666666666666665,0.625,60.0,0.1,True,True,190.0,185.0,100.0,0.1,5.0,100.0,0.2,everywhere,0.0,40.0,200.0,0.2,120.0,5.0,40.0,1.0,60.0,middle,60.0,True,60.0,0.8,100.0,30.0,60.0,100.0,60.0,30.0,0.0,200.0,30.0,100.0,30.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,28.0,28.0,green,pla,janbex
